oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
NULL,158782,20240731154206.0,NULL,"""Keterlein"" and ""Marthin Luther""[print].",1 print :etching ;sheet: 453 x 181 mm,summary,wife,"Satirical print showing Martin Luther, accompanied by his wife, holding a chalice and pushing wheelbarrow which supports his protruding stomach and is laden with books and three figures identified as ""Johann Calvin"", ""Martin Bucerus"", and ""Philip Melancthon""; he carries a wooden box on his box in which he carries several additional Protestant reformers, all identified in a numbered column at far right; his wife walks behind him with a large barrel on her back, a baby in her arms, and a small dog on a leash; two angels flank a book at upper left, and below four devils carry four Protestant leaders to the mouth of Hell, as four saints stand over them with scourges.",GenderTerms
NULL,158782,20240731154206.0,NULL,"""Keterlein"" and ""Marthin Luther""[print].",1 print :etching ;sheet: 453 x 181 mm,summary,wife,"Satirical print showing Martin Luther, accompanied by his wife, holding a chalice and pushing wheelbarrow which supports his protruding stomach and is laden with books and three figures identified as ""Johann Calvin"", ""Martin Bucerus"", and ""Philip Melancthon""; he carries a wooden box on his box in which he carries several additional Protestant reformers, all identified in a numbered column at far right; his wife walks behind him with a large barrel on her back, a baby in her arms, and a small dog on a leash; two angels flank a book at upper left, and below four devils carry four Protestant leaders to the mouth of Hell, as four saints stand over them with scourges.",GenderTerms
(OCoLC)ocn270704143,146911,20240801113820.0,"Haid, Johann Elias,1739-1809,engraver.",Catharina Luther[print] /Lucas Cranach pinx. ; J.E. Haid Sculp.,"1 print :mezzotint, engraving, and etching ;image: 221 x 140 mm; plate mark: 223 x 140 mm; sheet: 318 x  235 mm",summary,wife,"Portrait bust of Catherina Luther, wife of Martin Luther; to the left, looking to the front; in a tondo set into a fictive stone wall, with garlands surrounding.",GenderTerms
NULL,146912,20240801123009.0,"Meyer, Conrad,1618-1689,engraver.","Johannes Wikleff ein Engellaender. Rector der kirchen zu Lutterwort, und Professor der H[eiligen] Schrifft zu Ochβfurth, Anno 1370. Ist selig verscheiden a[nn] ̊1387[print] /Con. Meÿer fecit.",1 print :etching ;sheet: 227 x 150 mm,summary,famous,"Portrait identified as John Wycliffe, famous 14th century reformer.",Aggrandizement
(OCoLC)ocn270715203,150640,20171204204448.0,NULL,[Successful speculation][print].,1 print :etching and engraving ;plate mark: 7 3/4 x 6 5/16 in. (198 x 161 mm.); image: 7 x 5 5/8 in. (179 x 146 mm.),summary,gentleman,"A half-length portrait of a man dressed as a gentleman, holding a bag full of money.",Aggrandizement
(OCoLC)ocn701823122,411033,20240722163240.0,"Taylor, Isaac,1730-1807,printmaker.","Cupid turn'd auctioneer, or, Cornelys' sale at Carlisle House /S. Wale del. ; J. Taylor sculp.",1 print on laid paper :etching & engraving ;plate mark: 188 x 110 mm; image: 155 x 93 mm; trimmed sheet: 181 x 105 mm,summary,prominent,"Print shows and auction-room where Cupid on a high rostrum holds up a hammer, pointing with his left hand at the lot for sale, with a tall macaroni standing on a stool in profile to the left, holding a cane, his hat under his arm. Behind the macaroni stands Mercury, who appears to have placed him on the stool. Other lots are on a high shelf behind Cupid's head, against which rests a ladder. Above them are numbered placards: ""[Lo]t 1"" and ""Lot 2"" have gone, their places are vacant. ""Lot 3"" is a fashionably dressed lady; ""Lot 4"" is a macaroni taking snuff; ""Lot 5"" is a plainly dressed lady wearing an apron. Standing in front of the auctioneer is a crowd of spectators, fashionably dressed men and women, who are elderly and ugly, a lady with a fan in profile to the right being the most prominent.",Aggrandizement
(OCoLC)ocn701839372,279551,20240722163227.0,NULL,"Idol worship, or, The way to preferment[print].",1 print :etching & engraving ;sheet: 15 3/4 x 11 9/16 inches (400 x 293 mm),summary,ambitious,"Satire on Robert Walpole showing him as a colossal figure at the entrance to St James's Palce bending forward with his naked backside exposed for an ambitious young man to kiss; another man holds a petition and bowls a hoop lettered, ""Wealth"", ""Pride"", ""Vanity"", ""Folly"", ""Luxury"", ""Want"", ""Dependance"", ""Servility"", ""Venality"", ""Corruption"" and ""Prostitution"", through Walpole's legs towards an arcade whose arches are labelled, ""Saint [James's P]alace"", ""The Treasury"", ""The Exchequer"" and ""The Admiralty""",Aggrandizement
(OCoLC)ocn954201353,279609,20230310140221.0,NULL,"The assembly of the gods :being a representation, by emblematical figures, of the part Britons ought to act in their disputes with France. ...",1 sheet ([1] page) :illustrations (woodcut) ;46.8 x 48.3 cm (1mo),summary,Genius,"Dialogue between the gods of Olympus and Britannia. Woodcut depicts Jupiter sitting in a temple with Minerva, Goddess of Wisdom and Mars, God of War to his right and Neptune, God of the Seas and Mercury, Messenger of the Gods to his left; Vulcan and the Cyclops are shown forging cannon below; the Genius's consult mathematical instruments in the foreground as the British lion walks towards the water; with the Gallic cock and the infernal furies shown below in a cave at right and a fleet of ships approaching in the background.",Aggrandizement
(OCoLC)ocn954201334,279617,20240722163222.0,"Grignion, Charles,1721-1810,engraver.",Canvassing for votes[print] /painted by W. Hogarth ; engrav'd by C. Grignion.,1 print :engraving ;image: 15 3/4 x 21 1/16 inches (400 x 535 mm); sheet: 17 1/16 x 21 7/8 inches (434 x 556 mm),summary,gentleman,"A rural scene with three inns: ""The Portobello"" (celebrating the naval victory of 1739 in contrast with the recent loss of Minorca), outside which two veterans sit reminiscing; ""The Excise Office"" (the Whig stronghold, its name alluding to Walpole's Excise Bill of 1733) with the sign of the Crown and a rioting crowd; and ""The Royal Oak"" (recalling Tory support for the Stuart monarchy), its sign partly obscured by the banner of ""Punch Candidate for Guzzledown"" in which the Treasury is being emptied of money that the candidate throws at voters; in the centre, a young country gentleman is being bribed by agents of both parties, while, to right, a portly candidate buys trinkets from a Jewish pedlar for two young ladies on the balcony of ""The Royal Oak""; the landlady counts her bribe under the watchful eye of a soldier while she leans against a carved British lion about to devour the fleur-de-lis of France.",Aggrandizement
(OCoLC)ocn954200662,279622,20240722163222.0,"Hogarth, William,1697-1764,engraver.",The polling[print] /engrav'd by W. Hogarth & Le Cave.,1 print :engraving ;image: 15 11/16 x 21 1/8 inches (398 x 537 mm); sheet: 17 x 22 inches (432 x 559 mm),summary,able-bodied,"A rural scene with a hustings where ailing men are being brought to vote and the able-bodied are amusing themselves with a drawing of one of the candidates, an execution broadside and a gin bottle; in the middle ground a coach bearing the sign of the Union Flag has collapsed, but its female passenger (Britannia) is unable to gain the attention of her coachmen who are absorbed in a card game; beyond, a bridge across a river is crowded with a riotous procession.",Disability
